Disease name	List of shared genes
Myopia	RPSAP52;WFS1;SERPINH1;FBN2;PRKAG2;NAA25;MLANA;LMX1B;LIPC;CD247;CR1L;ADARB2;PLG;XPO7;CR1;C8orf84;NLGN1;DSC3;ACOXL;PVT1;NELL1;RNASE9;AK3;PICALM;MTAP;GRB10;QPCTL;USP44;BCAP29;FAM13A;MGAT1;PDGFRA;ZFP36L1;INSR;FSHR;ELOVL2;ASAP2;ZBTB38;CDH4;DAPK1;NUBPL;IL2RB;CATSPER4;OPTN;MYNN;HMGA2;
Hemoptysis	METTL1;EPHA5;HPR;RASGRP1;CDK4;TRPT1;KCNQ1;IL22RA2;RYR2;MTHFR;IL12B;PUS10;KIAA0090;ZBTB40;DNM3;MGC34034;EXTL2;SCG3;PALMD;EHHADH;TP63;BACH2;
Muscular Dystrophies	PREX1;BAIAP2L1;ZMIZ1;TMC2;IKZF4;MSMB;SLC2A9;ADAMTS12;TRAF1;ARAP2;SRR;SOX17;GCKR;RYR2;IDS;IL2RA;PRUNE2;
Gastroenteritis	TMPRSS6;BMP6;SASH1;DCC;FAIM2;IL17REL;HIST1H3B;REV3L;TNRC6B;ITM2A;MC4R;IL7R;CCDC26;IL10;TNFAIP3;API5;SLC2A9;ABCA7;EDA;VRK2;TBX5;TGFBRAP1;
Atrial Flutter	MICB;IL18R1;HLA-DQB1;ZFP36L1;BAK1;LDLR;ST3GAL4;SELP;NEGR1;C14orf181;SLC44A4;C6orf97;SCN10A;SLC4A7;AGER;LOC100132354;SLC6A1;CYP1A1;PTPRG;SLC9A9;LOC100289473;HLA-B;HCG9;CDRT4;FOXE1;PCNX;POLR3G;OSBPL1A;
"Influenza, Human"	STAT3;NPPC;HHIP;NDFIP1;SLC22A23;IL2RA;PLCB1;KCNH2;EHBP1L1;PREX1;ADIPOQ;IL7R;CLECL1;C8orf80;HNF1A;ZFAND3;
Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder	CRTC3;CDK6;PSMG1;EXOC3;SP8;KDM4C;GRM8;STX6;CADPS2;LPHN1;MOBKL2B;PSMB8;SACS;ZFP90;CACNB2;HNF1A;C8orf47;PLCB2;CDH1;C9orf72;C15orf32;HMG20A;RAB11B;DUT;GLG1;TSHR;FAM5C;OR10J3;DCC;FUT8;
Heart Valve Diseases	PSD3;SIPA1L1;GPC1;FUT8;SLC45A2;NFIA;TCHHL1;CACNB2;C10orf11;REL;TNFRSF1A;ESR1;SLC14A2;ZMIZ1;MS4A4A;IRF4;MAVS;ZP4;LOC100505844;HLA-DRA;UBE2D1;SASH1;GRIN2B;SGCD;PAPL;SLCO3A1;TMTC2;NCAM2;ADAMTS12;CR1L;COL13A1;BMP2;DBC1;MS4A6A;EDC4;NUTF2;PKNOX1;LDHA;ADRB1;ARPP21;NAALADL2;PROX2;CR1;ABCC4;TMCO1;TRPT1;CNTN4;
Herpes Simplex	EPC2;RIT2;MANBA;DSG1;DUT;ZNRD1;HLA-F;KIAA1109;DDAH1;EXOC2;TNFRSF10A;ATRIP;MEX3B;BMPR1B;ADARB2;PAX5;MMP24;FCER1A;CDH4;DARC;NRSN1;CDH13;PKHD1;C10orf11;PBX2;HLA-DQB2;
Gastrointestinal Diseases	IL26;TTN;HLA-DRA;FSHR;RPL21;CD163;FGB;ST6GAL1;ATE1;HERPUD1;LPA;FAT4;HLA-DPB2;EPC2;MICB;FGF7;ARMC2;C4BPB;LINC00340;HELQ;C5orf56;GRIN2B;BTNL2;HLA-DQB2;MTAP;RNF44;NT5C1A;NCF4;IL7R;CENPC1;RAD51B;SYCP2L;SOX5;KCNQ1;EREG;NOTCH4;HIST1H1D;CAMSAP1L1;IL11;C2orf86;NFIA;TNS1;BAT1;MAP3K1;NFKBIZ;ELMO1;ERCC4;MYH7B;DSG3;RREB1;
