Disease name	List of shared genes
Facial Nerve Diseases	SLC14A2;CSK;TMEM132C;ACSM1;TRPC5;MYNN;MBOAT1;C6orf97;LOC441167;CREB5;RARB;ABCA1;MANBA;HUNK;DUSP10;DAB2IP;STARD3NL;FAM113B;TNFSF11;CXCL12;CYP1A2;IL2RA;
Polycythemia Vera	JAK2;PRKD2;PKDCC;CLPTM1L;PAPD7;EEF1A1P14;MALT1;IGF2R;SLCO6A1;OR9G1;KCNK12;DSG3;MMP24;UQCC;UBE2D1;EXOC3L2;FRS2;
Migraine with Aura	IPPK;IL1RL1;CEBPE;TAB1;PHF21A;ITGAX;ANK3;IDS;CHD1L;SGCD;ZNF827;PUS10;BNC2;MUC1;CCR4;GLTSCR1;
Tobacco Use Disorder	TSHR;MC4R;PRDM15;WDR36;NUBPL;GHR;ZNF385D;CYP19A1;GPLD1;CAPZB;NCR2;C9orf5;SF3B4;SLC30A7;SCN7A;ITGAM;FUT2;RYR2;HLA-DQB2;GHSR;CD180;GNA12;EPB41L4A;CNTNAP5;AHRR;
"Pneumonia, Pneumococcal"	IL33;CIITA;KIFAP3;ZMIZ1;ANK3;MAD2L1;C6orf97;CDH13;SYCP2L;DUSP23;CLEC2D;CPVL;PLEKHA7;SREBF1;RAD51B;C20orf194;WDR36;CYP26A1;CLECL1;MEPE;
"Gastritis, Atrophic"	RHOD;SLC41A1;KCNT2;TTC7B;CLU;PROCR;LRRC32;NCALD;BMP6;TYK2;SPRY4;EDC4;SP8;CDH13;KDM4C;HERPUD1;FAM91A1;RAB3GAP1;ANO3;ADIPOQ;CEP250;
Osteoarthritis	CDKN2B-AS1;RHOU;GRM8;VRK2;IRS1;KRT18P32;CHEK2;SOX17;CRB1;PLEK;LOC100287944;LCORL;MGC34034;TCF7L2;PAK2;PELI2;NOS1AP;ALPK1;ETS1;SLC15A2;IKZF4;
"Glaucoma 1, Open Angle, A"	AGXT2;BRSK1;KSR2;ABCG2;TACC3;STXBP6;PSMA7P;PSMB8;HTR4;MAOA;CDKN2B-AS1;CDKN2B;ENG;CDKAL1;NAPRT1;HLA-A;KCNB2;FAM162B;DNAH11;PSMG1;CHEK2;VAV2;KIAA0319;CCHCR1;ANKLE1;CRHR1;REV3L;NSF;LBH;PTPN22;WNT3;GRIK5;C6orf97;TOMM40;
Corneal Edema	IL7R;CAPSL;MBNL2;LEPR;SLC17A1;SLC17A4;PDE4D;SLC2A9;SLC17A3;PHGDH;FOXP4;GSTCD;IRX4;CDT1;MMP3;SREBF1;PSORS1C1;BRAP;CDKAL1;HBBP1;ACE;HERC1;TCF4;MORN2;BICD1;LDLR;DNM3;CCDC26;IL28B;ELMO1;NLGN1;ADRB1;STARD13;MRPS30;
Mink Viral Enteritis	ATXN1;POLR2A;AKT3;ST3GAL4;MCM8;C2orf86;MYP11;PARD3B;CSMD1;CNTN4;LOC100132354;BMP4;EMBP1;SLCO5A1;SHB;HMGA2;PHRF1;BIN1;ATP1B1;IMPA2;HLA-E;TTC28;SEMA3C;ABCG5;FAM162B;
Vitamin B Deficiency	PLXNA1;UBXN4;CRP;DLG2;LDLR;BUD13;HLA-DRB1;TUSC1;HLA-DQB1;ADAM19;FOXE1;FAT4;LRIG1;IRF4;CNTN5;PLEKHF2;NCALD;TNIP1;CALM2;OR8S21P;BARD1;LMTK2;WDR66;JMJD1C;
Retinal Drusen	CFH;TCL1A;EXTL2P1;PKN2;PLCB1;ATP5SL;XPO7;MARCH8;ZFHX3;HMGB1;NAALADL2;PRKCZ;BCL11A;CLPTM1L;CDH13;DNAH11;RYR2;TERT;IKZF1;BMPR1B;MICAL3;ICOS;SIAE;TOMM40;
"Parathyroid Glands, Agenesis Of"	ZNF767;MTMR3;BAK1;CHRNA3;HHEX;UTS2D;ABCC4;C8orf80;MS4A4A;UIMC1;RHOU;RNF213;SVIL;PLXDC2;CMIP;HORMAD2;TRPT1;TNFAIP2;ITGAX;EHBP1;GATA2;LBX1;CRP;TIMM23;IKZF1;BAI3;AGPAT3;VPS41;UBASH3B;CCNE1;IL7R;EFHA2;
Schizoid Personality Disorder	HIST1H1D;DBC1;CDC42BPB;FOXO6;NUBPL;PHF21A;CDH1;CUBN;MITF;TOMM40;EPHA1;PLXNA1;RIT2;
Brain Neoplasms	NAALADL2;HCCS;LOC643308;MCTP2;CR1;LCORL;IRF5;C6orf57;IDS;PDE4B;SATB2;RTF1;ITGAM;SIX1;IL2RB;ETS1;DLG2;SF1;IL12A;ZBTB40;RASA1;BDNF;CTNNA2;LOC100132612;ULK4;PPP2R2B;ZNF706;F12;NINJ2;RNF212;ADCY9;MAX;CCNE1;IL12B;KITLG;IRF4;SCN5A;C15orf38;UNC13C;SEZ6L2;NOV;TNFRSF21;ZFAND3;BCAP29;SASH1;NOTCH4;BIN1;LEF1;PPP2R5E;ATP2A2;SLC7A9;DYSF;VPS41;TM7SF4;ACOXL;LYPLAL1;
Duodenal Ulcer	DBC1;AGXT2;AGPHD1;SREBF1;IRF8;EDC4;VPS41;ODZ4;IL2RA;RFX6;TF;CAMSAP1L1;SLC9A9;FAM49B;MAPT;CHRDL1;CHRNA3;TNFSF4;CRHR1;NTM;SH3GL2;RPS6KA4;HMGA1;CEP250;
Dyspepsia	SOX5;PLCB1;TOMM40;XPO7;CDH8;FASTKD2;PKNOX1;SCN7A;CMTM7;TMED10;PSCA;SCARB1;KIRREL3;IDS;FGF3;PXK;PTPRD;
"Genital Diseases, Male"	SEC16B;SPRED2;TMCC2;C6orf48;ANO3;SLCO3A1;HLA-DQB1;SOX8;RORA;HLA-DQA2;BCL11A;HLA-B;HCP5;CYP1A1;CDC42BPB;CHL1;SLC22A11;BMPR1B;PARP1;CDH4;MPDU1;ERAP1;MICA;ADAMTS12;NRXN3;TAGAP;RBBP6;
Brain Concussion	ABCB11;IL17REL;CRB1;IL1RAP;AHRR;STAT4;FRMD4B;HLA-A;PAQR4;PCDH9;LOC100132354;DAPK1;ARHGAP24;MACROD2;COL27A1;TRIM10;ANTXR2;TOX;TMEM229B;PRKG1;NAB1;
Urethral Stricture	BDNF;PDGFRA;MLN;SASH1;CCND3;RPL22P13;PCDP1;SP8;DGKD;ANXA13;FCRL3;C6orf97;SHROOM3;IL12B;TP63;MSMB;PI16;C6orf57;DUSP23;HDAC11;FUT2;LOC284998;STAT6;KCNE3;TTN;EVC;DOCK2;FAM155A;ATXN1;
"Tachycardia, Sinoatrial Nodal Reentry"	CYP2C9;MYH9;GCOM1;SPRY4;ABCA1;CHRNA3;FAM49B;PDGFRA;TCF7L2;PPAP2B;ZFP36L1;PLXNA1;C11orf93;C6orf183;HNF4A;RPL22P13;MINPP1;TRIP11;TGM5;
Respiratory Insufficiency	KCTD15;SDK2;IL27;KCNMA1;DOK2;KIF21B;PREX1;REL;ATXN2L;DKKL1;LRRC32;SLC25A43;UNC13C;CETP;EDIL3;UNC119B;CUEDC1;USP12;CCND2;ITPR2;APOA5;BCO2;ZNF365;PTPRD;NEGR1;
"Amino Acid Transport Disorders, Inborn"	GPC5;MLPH;TF;TRPM8;PLEK;DPEP3;CNTNAP5;TFEB;MST1;GPR124;CSMD1;CD33;CCND3;SULF1;CCDC63;LAMC2;C6orf129;ZNF320;O3FAR1;LPHN3;MCF2L;KIAA1462;
Heartburn	CLEC2D;CLECL1;NKX2-6;LYRM4;MYRIP;MEG3;EPC2;DENND1A;UTS2D;TNPO3;LDLR;EXOC3L2;ATOH7;DCC;KCNB2;MLANA;SGCD;GPLD1;ESR1;PSMB8;CSMD1;RPS26;SUCLG2;GRB14;TMCO1;
Endocarditis	THADA;CUBN;SMAD7;PAX5;BST1;TBC1D4;NNMT;LMO1;ERCC4;HLA-DQB1;PADI6;IL7R;IL12A;ZNF746;SETD7;TNIK;PLA2R1;GGT1;ARMC2;
Intervertebral disc disease	GCK;UBASH3A;TNFSF11;ISM1;SCN5A;BICD1;IKZF3;ZPBP;MICA;DUSP10;ADAM19;AHI1;SELL;CHRDL1;CFH;NT5C1A;ALS2CR12;RORA;PARD3;SIK3;SLC22A23;DGKH;TOMM40;C1orf125;UGT1A1;TIMM23;HHEX;HMGA2;GSDMB;UGT1A10;CMAS;VSTM2B;HLA-B;DKKL1;MCCC1;LOXL1;GIT1;HMGCR;LOC100131818;HLA-DRA;DOCK3;ADRA2A;GRB14;LOC391642;CAV1;C6orf97;PRKAG2;EOMES;SCN10A;HLA-DRB1;ZNF385D;
Hypercholesterolemia	APOB;CELSR2;LDLR;ZNF259;C6orf57;MYP11;SIK3;ABO;PVRL2;CDC42BPB;BAI3;PAFAH1B2;IL26;PAPL;NOTCH4;HLA-B;GRB14;EIF6;PLEKHA1;ST3GAL4;PSMG1;CCDC63;HHEX;ESR1;FAM162B;BAT1;TSHR;SOX17;IL23R;ATG16L1;LOC100287944;WDFY4;SLC30A8;
Apnea	ZMIZ1;MLANA;PECAM1;SLC1A7;HNF1A;KCNQ1;EHF;DOCK8;ACOXL;SLC24A4;SCN5A;SLC4A7;TBX5;
Osteomyelitis	HLA-B;EXTL2P1;FAM91A1;CSMD1;DOCK7;MAVS;TNFRSF19;PVT1;PARD3B;CCR4;TF;SPRY4;PADI4;TOMM40;TTC28;PTPRD;CFH;CMAS;MN1;THADA;KIRREL3;DOCK2;ADRB1;PRICKLE2;LMO4;APOA5;NTM;NOS1AP;PSMB8;FAM47E;PDE2A;MCCC1;HNF4A;PARP1;
Odontoma dysphagia syndrome	NR5A2;DBC1;RNF43;PTPRD;C8orf80;ST3GAL4;BAIAP2L1;GRB14;CENPW;CADPS2;RNF186;CRP;FASTKD2;CCHCR1;JAG1;IGF1;STAT4;NOTCH4;CCDC26;
"Adrenocortical Hypofunction, Chronic Primary Congenital"	TNRC6B;SHROOM3;BIN1;HLA-DQA2;SMAD3;NOTCH4;LHCGR;DOCK6;TNXB;ANK3;HFE;SLC17A1;PREX1;HIST1H2BJ;WDR41;PRNP;
"Rheumatoid Arthritis, Systemic Juvenile"	C6orf10;HLA-DRB1;HLA-DRA;PLEKHA1;HLA-DQB1;AGER;BTNL2;ATXN1;SLC44A4;PVT1;HBBP1;HCG9;LRP1B;ATF1;PKNOX2;EDA;MTHFD1;DMRT1;RTF1;MORN2;PSMB8;LUZP2;HLA-DQA2;HS6ST3;UMOD;IL22RA2;MMEL1;KIRREL3;IREB2;NAPRT1;RAD51B;PSCA;KLHL13;C9orf72;UBE2Q2;CCND3;ZMIZ1;IL2RA;KIAA1109;IFIH1;TNPO3;SPON1;ADRB1;SLC46A3;LCE3D;PTPN22;
Bronchopneumonia	OR10J3;TNFRSF21;BCMO1;RXRG;PDE4D;DOCK6;RAP1GDS1;SF3B4;LIPC;TRHDE;SREBF1;ASH2L;IRX4;TNRC6B;C6orf57;SOST;IGF2BP2;
Strabismus	CYP19A1;PDGFRA;PDE4D;TAB1;CYP17A1;C11orf73;C6orf204;MC4R;RPL22P13;CNNM2;POU5F1;ELMO1;CMAS;PRICKLE2;KIF13A;CDH1;STARD3NL;NTNG1;MYH6;PLEK;HUNK;DAAM2;LBH;TTC28;NELL1;ZNF788;
Uveitis	CCHCR1;LMO4;FRMD6;BHLHE40;GRIN2B;SLC6A13;LRRC4C;SPRY2;CACNA1C;HLA-DRB1;CDK6;SMAD7;BICD1;CETP;TAGAP;PHACTR1;DKK1;ESR1;ATP13A2;CTBP2;GPC5;C20orf194;FOXP4;FGF12;KIF11;HLA-DQB1;GPR126;
Retinoschisis	BTNL2;EPB41L4A;HLA-DRA;REL;BRAP;NAA25;IL17REL;TF;BAT1;SLC39A11;SH2B3;ATXN2;PSORS1C1;MSH5;RPL21;HLA-B;HHIP;BAG6;HLA-DQB2;ACCN1;HLA-DQB1;NCR3;TSHR;TMEM175;MECOM;CDH13;RYR2;LAMB1;ITPR2;HFE;ZBTB17;BATF;
Jaundice	UGT1A1;UGT1A10;C11orf10;HEATR7B1;FAT4;NKX2-6;FADS1;FADS2;TP63;CABLES1;WFS1;STARD3NL;BMPR1B;ZNF433;CCT7P2;FGF5;DMRT1;DACH1;STAT6;ADAM18;C6orf106;SLCO5A1;FUT8;FOXE1;CRTAC1;TAB1;C6orf183;SCFD2;HIP1;BDNF-AS;PTPN22;WDR65;ZBTB40;C14orf102;C3orf38;
Mild Cognitive Impairment	TOMM40;STAT2;MC4R;PON1;NXPH2;NLGN1;CDKN2B-AS1;CDKN2B;RPS26;LOC100505844;CDH9;SLC2A9;TRIM38;TBX3;IL1R2;C6orf204;
Digestive System Neoplasms	TNFSF15;EIF3H;HUNK;SELL;ADAMTS20;ZMIZ1;PRKCE;ERAP1;DUSP23;MYO18B;ELMO1;SCN5A;ADAMTS14;PLAG1;LRP2;SELP;BAK1;POLR3G;CTNNA2;CRP;EFEMP1;MLPH;RFTN1;LCORL;UNC119B;WFS1;PSMG1;SLC22A18;LIN28B;SCAMP3;HMGA2;RNF5P1;TERT;SGSM2;OR5H2;LOC650157;KRT18P32;PRKG2;TOMM40;TRHDE;F12;NCKAP5;CYP4F2;DIP2C;HERC2;GRB10;
Pneumothorax	RPL5;DGKH;PARD3;IDS;GCK;NFKBIZ;ARAP2;PKNOX2;ZNF521;GRIK1;ZNF248;ATE1;HMGA1;SH2B3;KCNIP4;ESR1;SP7;TOMM40;
Sprains and Strains	WNT3;PLEKHM1;MAPT;NSF;COL4A1;CRHR1;RORA;ST3GAL4;PPP3CA;DAB2IP;CYP2C9;CDC42BPB;ALS2CR12;CRIM1;CALM2;LOC441167;C2orf47;MCPH1;CDH13;TBL2;TP63;ILKAP;OR9G1;MMAB;RNF186;MYH9;NAT2;UBASH3A;PTPRD;COL5A1;SMAD7;PRICKLE2;
Osteoporosis	POU2F1;RTEL1;BCO2;TNFRSF11B;PDE4D;LSP1;RAB3GAP1;NRSN1;RXRG;IFIH1;COL27A1;POPDC3;NCAM2;ARHGAP31;OR10J3;ZGPAT;CRTC3;FAIM2;PABPC4;ZFAND3;SH2B3;MEIS1;C8orf47;CFI;ATXN2;WNT4;O3FAR1;GCKR;SNTB1;MUC1;TRIM10;
Cystic Kidney Disease	NKAPL;RIT2;SF1;ITM2A;CARD9;EYA1;AMIGO2;DTNB;TYMP;CXCR4;HLA-DQB1;ANKS1A;DCDC2;PADI4;STAT6;MYRIP;PANK1;C1orf63;NAPRT1;FARP1;F12;RBPMS;CPVL;ODF3B;
"Prostate cancer, familial"	MSMB;FAM155A;SCAMP3;PSORS1C1;OR10J3;KITLG;HNF1B;OCM2;EXTL2P1;SAE1;PRPH;TMEM57;HLA-DPB1;CDK5RAP1;LDHA;HIST1H3B;TMEM50A;HLA-C;POP1;CCHCR1;PSCA;ITGA6;ICAM1;HLA-B;TOMM40;KIF16B;NKX3-1;BCAP29;BANK1;CUEDC1;FAIM2;RFX6;SPRY2;NR1H3;CRTC3;LRP4;HNF1A;PVT1;TRIM58;HLA-DQB1;RAPGEF5;
Airway Obstruction	ARL5B;PBRM1;DOCK6;CHRNA3;AGPHD1;CDKN2B-AS1;PHACTR1;GATA3;KCNQ1;ITIH1;NCR2;CD86;UCK2;RNASE9;MAD2L1;TBX5;PKNOX2;IL12B;HMG20A;PDGFRA;CMKLR1;ICAM1;CD40;IKZF3;TNIP1;ZDHHC19;ADAMTS14;OSBPL10;APOL1;H2AFY;GSDMA;HHEX;
Out-of-Hospital Cardiac Arrest	FHIT;UQCC;PLAG1;THRB;TCHHL1;CCND3;PKNOX2;C6orf103;ESR1;MICB;IRF8;MTNR1B;TNFSF15;DNM3;CXCL12;TNIP1;SLC16A9;CXCR5;PKN2;FTO;SGCD;RTEL1;SULF1;SLC9A9;DOCK7;CDKN2B-AS1;JAZF1;ZNF341;PTPRG;PCSK9;REST;CTNND2;OR2M7;APOB;RORA;MAOA;GORASP2;C9orf5;CDC42EP3;
Syncope	BACH2;ZNF644;MEIS1;TTR;LRRC16A;ZNF536;DAAM2;SMOC2;IL28RA;PRKG1;IL12A;CACNB2;SALL4;CUEDC1;ACCN1;C6orf103;ZBTB40;PSMA7P;RAPGEF5;C6orf106;
Heart Septal Defects	MAF;MRPS22;SPRY4;LINC00340;ABCC4;HNF1A;STK11;NCR3;ENG;SH3BP5;VCX3B;IKZF2;TP53INP1;GORASP2;LRP4;PABPC4;GLIS3;NBPF3;PTPRD;SIK3;ADAP2;MDM4;IFIH1;LRP1;C6orf183;VGLL3;C2orf47;
Hallux Rigidus	NOD2;SP8;ACOXL;CRHR1;SIN3A;SLC26A3;NSF;WNT3;C14orf181;C6orf97;HMGA2;LRP1;MAPT;CUBN;NXPH2;SIX1;PSMG1;GRIA1;PDLIM5;IL27;EEF1A1P14;HLA-B;IKZF4;NOS1AP;IKZF1;SLC39A8;PLEKHM1;QSOX2;SLC28A1;
Esophagitis	MPPED2;WDR72;KCNH8;DSC3;STAT4;CDRT4;GRM8;CDKN2B-AS1;ADAMTS17;CCND3;LOXL1;PLAG1;FCGR2A;LASS6;KRT18P32;CENPW;LDLR;KATNAL2;SREBF1;MS4A4A;LHFPL3;IL10;NTNG1;SLC25A43;HORMAD2;PLXNA1;PSCA;
Giant Cell Arteritis	HLA-DRB1;C6orf10;RBMS1;NCAM1;NCF4;SLC44A4;CHIC2;CETP;KCNE3;DACH1;TTC28;RORA;BATF;ATP2B1;ANKRD55;NPC1;
Cachexia	NHEJ1;HNF4A;PCNX;ZNF544;ACTN1;ZNF229;RAB37;ZNF498;RAB4B;EPHA4;ICAM1;NEIL3;RXRG;FAIM2;IL23R;COL11A1;MRAS;OR4A15;
"Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"	NME7;EXTL2P1;SLC27A1;RAPGEF5;ICAM4;CCDC64;HNF1A;KCNQ1;PHF21A;AP3S2;FONG;ELMO1;GCOM1;CSF2RB;RAP1GDS1;SOX4;MICB;LOC100505844;NAV2;LPL;SLC9A9;TYK2;ADARB2;
"Cystic Fibrosis with Helicobacter Pylori Gastritis, Megaloblastic Anemia, and Subnormal Mentality"	LCE3E;PAQR4;BMP6;DKKL1;MPPED2;ZMIZ1;HLA-DQB1;LDLR;MS4A4A;EXOC2;COL27A1;KIF13A;USP12;SRPRB;PRDM15;HERC1;KITLG;LCE3D;CPEB1;
Granulosa cell tumor of the ovary	IGF2BP1;FRAS1;DSC3;FAM126A;ANK3;DCP1B;PSMA7P;MPP7;ACOXL;MMP3;DUT;WDR12;FOXL1;MYRIP;TNS1;XPO7;IMMP2L;PARD3B;HLA-DRB1;
Feeding and Eating Disorders	THADA;TBC1D30;MAP3K1;H2AFY;PLA2G12A;ABO;TNFRSF10A;HMG20A;LRP1B;WNT4;THSD7B;RFX6;DPP6;MCM8;DBC1;CUBN;MAOA;NUTF2;TMCC2;GRIN2B;TPCN2;TRIM10;SLC39A8;SLC6A6;SIK3;ADAMTS20;C2orf86;PSMG1;MIR137;NFIA;EDC4;ARHGAP31;TMCO1;FOXO6;
Bundle-Branch Block	LOC643308;SLC1A7;RNF186;CFH;CCHCR1;API5;HMGCR;ADK;CREB5;KCNN3;DGKH;ADAMTS17;HMGA2;RNU7-62P;PITX1;PLXNA1;BOK;AGER;KCTD2;TRAF1;ELMO1;ATXN2L;SHROOM3;BIN1;PCNX;FHDC1;LOC387933;RAB11B;LPP;NRG3;HIP1;FHIT;MAF;UST;SMAD3;MAP2K5;TMEM50A;SP8;TIPARP;GPR35;GPR133;CDH8;LRP2;PDS5B;TNFRSF1A;C6orf10;COL4A1;GPR124;FARP1;WDR65;CPM;GPC5;ZFAND3;TAB1;ITGAM;KIRREL3;SLC6A13;CETP;PHF19;COG6;ICOSLG;ZNF706;C6orf106;UNC13A;PARK2;
Bile Duct Diseases	C4BPB;ACOXL;KITLG;B3GNT2;TAL2;CETP;SLC14A2;PCSK5;RGS1;STAT3;DYRK1A;NCAPD3;RGL1;TSHR;HMGA2;CXCR5;
"Hyperparathyroidism, Secondary"	OPTN;PLXDC2;C6orf129;ABCC4;ZBTB40;AHI1;CCL21;CTNNA2;TNFSF11;GRIK1;SERPINH1;CDK6;IRF2BPL;KIF11;SCN5A;GRB10;IRX4;WDR72;
Pulmonary Embolism	SLC14A2;SLC28A1;SOCS2;LOC441167;ABCG8;KCNT2;INSR;ABO;SLC22A1;TNIK;PROX1;FAM155A;RNASE9;TRIM10;ZNF706;PRRX2;IL23R;TMTC2;TRAF3;SMAD3;MACROD2;ADAMTSL3;PLXNA1;C8orf12;ST6GAL1;COG5;
Polymyalgia Rheumatica	HLA-DQB1;IL1F10;SPRED2;CETP;ANKRD55;TRIM4;GCK;DPP6;JAZF1;HLA-DRB1;NCF4;MORN2;TNFRSF19;FRS2;PRNP;SOX4;HMG20A;DCDC2;CAMK2B;MYO18B;LIPA;HLA-B;LRRC16A;CDK6;SCGN;
"Pneumonia, Viral"	HLA-DRB1;C6orf10;CDH13;SMAD7;C6orf191;COG6;ZNF767;WWOX;ACADL;DSC3;ATP2A2;LBH;GSDMA;ETS1;
Nephrotic Syndrome	DENND4A;BET1L;ZNF492;IL1R2;ITLN1;PTPRD;
Atherosclerosis	TRIB3;BTNL2;CDH8;DISC1;CEP152;SH2B3;ATXN2;FOXO6;CELSR2;HLA-DRA;HIST1H2BJ;NKAPL;RXRG;MMEL1;BRAP;SLC25A43;SPTLC3;PCDH9;ERC2;CTLA4;NAA25;VSTM2B;PDE3A;HSD17B6;TBC1D30;CXCR5;STIM2;GIPR;C6orf10;SCN5A;ANKS1A;
Idiopathic orthostatic hypotension	SPATA7;SYCP2L;FUT8;TCL6;GHSR;TAGAP;EPAS1;DCDC2;FAM13A;ACOXL;IL23R;DOCK2;IPPK;TMTC2;ISM1;
Urticaria	C8orf42;C6orf97;UNC5C;C6orf10;PPARGC1B;C11orf73;CACNA1S;HAS3;UGT1A1;UGT1A10;ZNF292;IL12A;SLC34A1;HLA-DPB2;TNXB;PKNOX2;IL18R1;ARHGEF3;FARP1;PTPRD;DCAF12;FASTKD2;SH3GL2;TNIP1;KIAA1598;IL12RB2;
"Corneal Dystrophy, Fuchs Endothelial, 3"	TCF4;DPP6;CDT1;PSMA7P;EFHD1;TCL1A;USP46;ELMO1;KCNJ2;CRYGC;CMTM8;FLT1;PVT1;AAK1;IPPK;ICOSLG;GGT1;QSOX2;SP8;CR1;LRRC18;MBNL2;PEX14;TNFAIP3;IL33;NLGN1;CR1L;DAAM2;MAST4;PRKG1;IRF4;
Urinary Retention	BARD1;BAG3;KCNJ12;SELP;AP3S2;NRGN;PCDP1;GSDMB;DSC3;CYP24A1;CR1;KIAA1109;TNFAIP3;
"Pneumonia, Bacterial"	KIRREL3;FGF7;LOC441167;SYCP2L;WWOX;DDAH1;PVR;RGS6;FAM177B;ACE;CIITA;ITGA9;IL1RAP;MKL1;SUPT3H;TOMM40;RAD51B;APOA5;FOXQ1;CYP20A1;BAG3;SLC44A4;
Disorders of other cranial nerves	C6orf129;TRPC5;DAB2IP;FTO;ANKRD55;ERAP1;CAST;HUNK;ZNF536;SLC17A1;SLC14A2;MANBA;OR4A15;TRIM38;TNFSF15;STARD3NL;ZNF320;TGFA;LDHA;JMJD1C;MMP3;
Astigmatism	LIPC;CD247;RPSAP52;IL12B;TCL6;C10orf11;HLA-DRB1;C6orf129;FCRL3;NXPH2;PLAG1;CDT1;NPLOC4;ZFP36L1;ILKAP;PAK2;NEK6;TNFSF11;CD58;BRAP;ACOXL;FSHR;GNA12;CYP2C9;MLANA;PLCL1;DCC;TBX3;AK3;
Heart Diseases	CDKN2B-AS1;OSBPL1A;LOC391642;PBX1;HLA-DRA;GPR133;KITLG;NCR2;NRXN3;EYA4;SLC14A2;NRGN;HLA-DOA;IGF2BP1;MIR137;NOD2;CDKN2B;NXPH2;CD86;AHI1;CASQ2;PBX2;
Stomach Neoplasms	MGC87042;POU5F1;TGFA;SLC44A4;C6orf97;C6orf15;TRPT1;IL12B;RFX6;NUCKS1;WDR65;HMGB1;SIN3A;FUT6;CDKAL1;RELN;SOCS6;C1orf81;FRS2;FARP1;PARK2;ITGA6;EFEMP1;SNRPN;DPP6;TNXB;GSDMB;CCL21;SLC45A2;IKZF3;NRG1;
"Acne, Adult"	TRIM38;CRIM1;HHIP;BAD;AKD1;LRRC16A;LINGO2;CDK6;CTSH;KCNJ12;RORA;FOXG1;ITGAX;PLEKHA1;CDKN2B-AS1;TRPT1;SLC44A4;CD247;LYRM4;PPM1E;
Retinal Diseases	CFH;PKN2;NUP205;PLCB1;IL11;CETP;HLA-DRA;DNAH11;DYSF;EXTL2P1;TTC7B;ZFHX3;IGLL1;NIN;CLPTM1L;TCL1A;IL27;XPO7;HCG27;HCP5;HMGB1;HLA-DQB1;C6orf10;KIF16B;GRIN2B;SMAD7;ADRB1;RUNX3;CD53;DCAF12;TOMM40;ZPLD1;KCNMA1;
Pleurisy	VGLL3;PRC1;PTPRD;CD40;CDK10;DNM1;ZNF706;NUBPL;RIT2;PREX1;SREBF1;VKORC1;APOB;STX4;DGKH;C6orf97;ITGAM;SLC2A9;GPC5;IPPK;MICB;BIN2;CDT1;ELMO1;CCDC26;UBASH3B;PPP3CA;AP3S2;EFCAB4B;PKDCC;FADS2;LPP;
Dysmenorrhea	STIM2;MAOA;CCNE1;SCN10A;MEF2C;C9orf72;IRF1;WNT4;BAG3;FGF7;F12;DLG2;ZNF804B;ABCA1;RPS11;MYO18B;MLPH;DSG1;MOBKL2B;WNT11;CACNB2;SPEF2;ZNF157;VGLL3;VEGFA;
Melanoma	MC1R;EXOC2;ZFP90;TYR;CSNK1G3;MED13L;INTS10;IRF4;SPRY2;MYH7B;ATM;RNF212;SLC6A6;EXTL2;NOS1AP;C5orf36;CMTM8;ASB1;FGF5;ATOH7;ADAM18;EPS15;CHIC2;EFHD1;BRSK1;CENPC1;KSR2;
Gastrointestinal Hemorrhage	LRP1B;LASS4;TF;FSTL4;HIP1;TNFSF15;NOD2;FOXO3;FGF7;ZNF462;BDNF-AS;HUNK;PRKG2;PDGFD;L3MBTL3;ABO;CDKN2B-AS1;TOX;CDK10;MMEL1;PTPRD;C5orf30;ZFAND3;DLG2;
Torticollis	SLCO5A1;HFE;ZPLD1;ADH1C;MYH9;PKD2L1;CDH8;DPT;OSBPL10;SDK2;HCP5;PRKCA;SACS;FAS;SLC22A18;SLC17A1;C5orf36;HIP1;ATRIP;TNFSF11;RAD51B;C11orf93;ESRRG;IFI27L1;ARHGAP10;
Eye Neoplasms	IRF4;KITLG;SLC22A12;DOCK3;ZMIZ1;KCTD2;NAA25;PML;CRB1;GRM8;EPHA4;FAIM2;RASGRF1;SLC12A2;CBS;NAB1;STIM2;AKT3;APOB;PLA2G6;FGB;SH2D6;DOK2;LASS6;KCNJ2;ABCA1;CYP4F2;
Optic Atrophy	SP7;TOMM40;SAFB2;RASGRP4;SHB;HRG;GABRB3;SLC45A2;MYH9;UTS2D;SCG3;CRYGC;MAPT;BRD1;BIN1;GFOD2;CRHR1;TNFAIP3;LAMC2;IRX4;HNF4A;LRRC16A;CHD1L;SOX8;PVT1;OPTN;
"Leukemia, Lymphoid"	ALS2CR12;GRAMD1B;RXRG;RIT2;ZMIZ1;CNTN4;CYP26A1;NIN;RIN2;KCNJ11;RTEL1;HLA-DRA;CDT1;SEZ6L2;TSLP;DLEU7;SFPQ;SH3GL2;MMEL1;HIST1H2BJ;
Tinnitus	SLC2A9;DCDC5;LRP2;ATP2A2;ABCA7;TP63;CRP;SOCS2;DOCK2;RAD51B;SGCD;TRIP11;CCDC26;FAM162B;BAD;C6orf97;ZNF259;
Myoclonus	TBC1D30;NOTCH4;PRPH;SLC17A3;PAK2;SLC17A4;IRF4;KCNB2;SLC17A1;KATNAL2;PCSK2;TNFRSF11B;ATP2B1;
